tic,type,quantity,price,high,low,day
600795,sell,100,4.67136201858928,4.69,4.61,2024-11-11
002001,sell,100,22.690777206523343,22.61,22.07,2024-11-11
601336,sell,76,69.41340274679156,69.5487618,67.7079135,2024-11-11
601319,sell,73,8.576907774773895,8.70256035,8.5296618,2024-11-11
000776,sell,68,16.90905111523345,17.25,16.9,2024-11-11
601877,sell,32,23.166556200999764,23.12,22.59,2024-11-11
002600,sell,9,8.585311358096078,9.06,8.41,2024-11-11
601628,buy,100,47.52080132134259,47.51,45.66,2024-11-11
002905,buy,95,7.135910093933344,7.3,6.9,2024-11-11
300442,buy,22,33.686082489578986,34.52,33.4,2024-11-11
000776,sell,100,16.979149865647777,17.52,16.81,2024-11-12
002905,sell,100,7.2968821456655855,7.29,6.97,2024-11-12
002001,sell,100,22.734749025626808,22.89,22.26,2024-11-12
002600,sell,79,8.916763754705899,9.37,8.81,2024-11-12
601336,sell,76,68.7709874814316,70.8096168,65.85445665,2024-11-12
601877,sell,60,23.22145781368017,23.64,22.72,2024-11-12
601628,sell,38,46.03741569025442,47.2,44.21,2024-11-12
300442,sell,31,34.839448394738135,35.35,33.74,2024-11-12
601319,buy,100,8.504934672589306,8.71408692,8.32218354,2024-11-12
600795,buy,64,4.679508725892228,4.7,4.61,2024-11-12
000776,sell,100,16.812196042668074,17.08,16.67,2024-11-13
601877,sell,100,22.973628858448354,23.05,22.49,2024-11-13
601336,sell,85,65.7086476714832,66.8000979,64.9592496,2024-11-13
002600,sell,79,9.018475214433856,9.55,8.58,2024-11-13
601319,buy,100,8.296160086955442,8.55271494,8.2991304,2024-11-13
002905,buy,100,7.143861732585355,7.27,7.01,2024-11-13
002001,buy,76,22.380895130243154,22.43,22.0,2024-11-13
601628,buy,39,44.383403583248146,45.24,44.04,2024-11-13
300442,buy,33,34.96145702311769,35.97,33.32,2024-11-13
600795,buy,4,4.6290802906593305,4.65,4.6,2024-11-13
601319,sell,100,8.482124485148136,8.70256035,8.44897581,2024-11-14
002600,sell,78,9.529784288222437,9.91,8.86,2024-11-14
300442,sell,64,36.84001081958413,35.79,33.37,2024-11-14
000776,sell,31,16.927559770541265,17.15,16.74,2024-11-14
601628,sell,25,44.50841897325881,46.08,44.1,2024-11-14
600795,sell,14,4.629749342089599,4.69,4.59,2024-11-14
601336,buy,100,65.59746076859042,68.6913804,65.816631,2024-11-14
002001,buy,100,22.49852273017168,22.33,21.91,2024-11-14
601877,buy,84,22.9226046484767,22.95,22.33,2024-11-14
002905,buy,18,7.213905170934741,7.34,6.98,2024-11-14
601877,sell,47,22.428913730077912,22.47,21.98,2024-11-15
601628,sell,22,45.23081700429786,45.49,43.99,2024-11-15
300442,sell,17,34.69493902986869,36.13,34.17,2024-11-15
601336,buy,100,65.57903543446284,66.13184475,63.294921,2024-11-15
600795,buy,100,4.589994692991776,4.62,4.54,2024-11-15
002905,buy,100,6.955624337405898,7.37,6.96,2024-11-15
601319,buy,50,8.527604813877335,8.57576808,8.32218354,2024-11-15
002600,buy,34,8.895729487010977,9.24,8.76,2024-11-15
000776,buy,23,16.809150008829313,16.89,16.21,2024-11-15
002001,buy,19,22.15199976170901,22.1,21.51,2024-11-15
601628,sell,100,44.273654329800046,45.6,43.52,2024-11-18
601336,sell,100,63.335969121518865,65.2366377,61.7062437,2024-11-18
002001,sell,98,21.9498550875613,21.94,21.21,2024-11-18
601877,sell,92,22.044447421827353,22.49,21.92,2024-11-18
002600,sell,53,8.90492629526416,8.92,8.02,2024-11-18
600795,sell,39,4.550930963109567,4.66,4.55,2024-11-18
000776,buy,100,16.374868772458285,16.46,15.99,2024-11-18
002905,buy,98,7.090867981538176,7.22,6.7,2024-11-18
300442,buy,58,34.64451005768962,35.32,30.57,2024-11-18
601319,buy,5,8.330752317245999,8.70256035,8.35676325,2024-11-18
002600,sell,100,8.125579482443863,8.29,7.94,2024-11-19
002001,sell,100,21.495650394450642,21.62,21.13,2024-11-19
000776,sell,77,16.250767858419568,16.23,15.81,2024-11-19
